nazwa_ogloszenia,link,cena,opis,lokalizacja,pokoje,stan wykonczenia,miejsce parkingowe,powierzchnia,balkon,taras,piętro,rok budowy
"Okazja! 2-pokojowe mieszkanie do wprowadzenia, budynek z 2012 roku",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-zielna-41m2-mzn2043202564,509 000 zł,"OGŁOSZENIE BEZPOŚREDNIE - BEZ PROWIZJI
Mieszkanie o powierzchni 40,85 m2 zlokalizowane na 1 piętrze przy ul. Zielnej 26 we Wrocławiu w budynku z 2012 roku.
Składa się z sypialni, salonu z aneksem kuchennym i łazienki. Do mieszkania przynależy komórka lokatorska o powierzchni 1,33 m2 - idealna opcja na dodatkowe przechowywanie oraz miejsce postojowe naziemne.
Forma własności: pełna własność z księgą wieczystą.
Czynsz wynosi około 250 zł. W skład czynszu wchodzi: zimna woda i ścieki, energia elektryczna NW, woda NW, fundusz inwestycyjno-remontowy, okresowe przeglądy, ubezpieczenie budynku, konserwacja i naprawy, utrzymywanie czystości i pielęgnacja terenów zielonych.
Mieszkanie jest po remoncie, gotowe do wprowadzenia. Została wymieniona podłoga wraz z listwami w całym mieszkaniu. Wszystkie drzwi wewnętrzne z futrynami również zostały wymienione.
Mieszkanie posiada praktyczny rozkład oraz 2 balkony. Dużym atutem jest możliwość aranżacji mieszkania pod swoje potrzeby i wedle własnego gustu.
Jest to znakomita szansa dla tych, którzy posiadają kreatywną wizję i pragną stworzyć wnętrze o unikalnym charakterze i wyjątkowym stylu.
Lokalizacja:
Okolica jest urokliwa, z łatwym dostępem do infrastruktury miejskiej i wszelkich udogodnień.
W pobliżu znajdują się sklepy spożywcze, restauracje, przedszkole, szkoła podstawowa.
Około 6 min do przystanków autobusowych. Dojazd do Centrum komunikacją miejską trwa około 30 minut - samochodem około 20 minut.
W pobliżu stacja kolejowa Wrocław Psie Pole.
Cena: 509 000 zł
Dodatkowo płatne:
- Miejsce postojowe: 20 000 zł
- Komórka lokatorska: 10 000 zł
NIE JESTEŚMY ZAINTERESOWANI WSPÓŁPRACĄ Z BIUREM NIERUCHOMOŚCI.
Ogłoszenie dodane do 100 portali nieruchomości przez portal www.odwlasciciela.pl",Zielna 26,2,,,41 m²,Tak,,1/2,2012
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-slezna-118-100m2-mzn2042191870,,"Ślężna Vita

Najważniejsze atuty

✅ Starannie przemyślane, funkcjonalne rozkłady mieszkań","Krzyki,",4,,,"100,49 m²",,,2/7,2025
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-srodmiescie-dmowskiego-13-43m2-mzn2041112029,,"Atmo
Najważniejsze atuty
✅ Przemyślane rozkłady lokali gwarantujące szerokie możliwości aranżacji","Śródmieście,",2,,,"43,65 m²",,,,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-srodmiescie-dmowskiego-13-52m2-mzn2041112061,,"Atmo
Najważniejsze atuty
✅ Przemyślane rozkłady lokali gwarantujące szerokie możliwości aranżacji
✅ Przynajmniej jeden balkon lub loggia przynależne do mieszkań oraz ogródki na parterze","Śródmieście,",4,,,"52,79 m²",,,2/6,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-braniborska-80-28m2-mzn2043178228,,"Najważniejsze atuty
✅ Doskonała lokalizacja w centrum Wrocławia
✅ Elegancka i nowoczesna forma budynku wpisująca się w najnowsze trendy architektury
✅ Zielony wewnętrzny dziedziniec
✅ Funkcjonalne i ustawne mieszkania w najbardziej poszukiwanych metrażach

Braniborska 80 w skrócie
Inwestycja przy ulicy Braniborskiej 80 we Wrocławiu stanowi idealną propozycję dla osób ceniących sobie wygodę miejskiego życia. Znajduje się ona bowiem w centrum Wrocławia, a spacer z niej do Rynku zajmuje jedynie 20 minut. Nowoczesna i elegancka forma budynku doskonale wpisuje się w najnowsze trendy architektury, jednocześnie komponując się idealnie z otoczeniem i współgrając ze zmieniającą się zabudową całej ulicy. Efektowna elewacja stanowiąca kompozycję białych płaszczyzn ścian i grafitowych okładzin cegieł klinkierowych została urozmaicona takimi detalami, jak szklane balustrady czy zróżnicowane elementy drewniane. Znalazły się tu funkcjonalne i ustawne mieszkania pozwalające na stworzenie wymarzonego wnętrza, w najbardziej poszukiwanych metrażach: od 29 do 90 m kw. Do wszystkich przynależą balkony lub loggie, a na ostatnich piętrach – przestronne tarasy. Na parterze natomiast zaprojektowane zostały ogródki.

Braniborska 80 – lokalizacja
Korzystna lokalizacja to jeden z największych atutów inwestycji przy Braniborskiej 80. Znajduje się ona bowiem zaledwie 20 minut spacerem do Rynku we Wrocławiu, a także w sąsiedztwie licznych linii autobusowych i tramwajowych umożliwiających szybkie przemieszczanie się w inne części miasta. W pobliżu znajduje się również pełna infrastruktura handlowo-usługowa, działa Akademia Sztuk Teatralnych oraz Wrocławskie Muzeum Współczesne.

Tereny zielone
O 2 km od inwestycji oddalony jest Park Zachodni.

Sklepy, punkty usługowe i gastronomiczne
Tuż przy inwestycji znajduje się Lidl, stacja benzynowa oraz całodobowa myjnia samochodowa bezdotykowa. Zakupy w najbliższej okolicy można także zrobić w: Delikatesach Centrum (800 m), Nowej Chacie (650 m) czy sklepie spożywczym Kornel (600 m). W pobliżu znajdują się także: bar sushi (700 m), McDonald’s (1 km) czy restauracja HALA monko (1,7 km). Do centrum handlowego Magnolia jest 1,1 km.

Komunikacja i transport publiczny
W odległości 200 metrów znajdują się przystanki tramwajowe i autobusowe przy ulicy Legnickiej pozwalające przejechać szybko w inne części Wrocławia. Dobrą komunikację zapewnia także poprowadzona w sąsiedztwie nowa linia tramwajowa na Nowy Dwór. Do dworca kolejowego Wrocław Mikołów jest 900 metrów, a pobliskie ścieżki rowerowe zachęcają do korzystania w sezonie z jednośladów ułatwiających poruszanie się po mieście.

Edukacja
Przedszkole nr 41 oddalone jest od inwestycji o 650 metrów, kolejne – nr 99 i 102 – o 700 metrów. W odległości 450 metrów działa Jaskółka – Autorska Szkoła Podstawowa, Ala. Autorskie Licea Artystyczne i Akademickie, a o 700 metrów oddalona jest Wyższa Szkoła Humanistyczna we Wrocławiu. W odległości 170 metrów znajduje się Akademia Sztuk Teatralnych.

Rezerwacja i płatność
Wszystkie informacje dotyczące rezerwacji i płatności znajdą Państwo u dewelopera, polecamy kontakt przez formularz.","Stare Miasto,",1,,,"28,14 m²",,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-slezna-118-93m2-mzn2041783323,,"Ślężna Vita

Najważniejsze atuty

✅ Starannie przemyślane, funkcjonalne rozkłady mieszkań","Krzyki,",4,,,"93,13 m²",,,4/7,2025
Konkurs ofert - udział 1/2 w lokalu mieszkalnym,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-henryka-michala-kamienskiego-51m2-mzn2043236447,67 500 zł,"UPADŁOŚĆ KONSUMENCKA - SYNDYK SPRZEDA Z WOLNEJ RĘKI W DRODZE KONKURSU OFERT UDZIAŁ 1/2 W LOKALU MIESZKALNYM PRZY UL. KAMIEŃSKIEGO 242/3 WE WROCŁAWIU
Syndyk sprzeda z wolnej ręki w drodze konkursu ofert udział 1/2 w lokalu mieszkalnym o powierzchni 51,60 m2, składającym się z trzech pokoi, kuchni, jadalni, łazienki z wc i przedpokoju położonym we Wrocławiu Kamieńskiego 242/3, nr księgi wieczystej WR1K/00198734/8 za kwotę nie niższą, niż 67.500 złotych, co odpowiada 50 % kwoty oszacowania.
Mieszkanie położone na 2 piętrze przedwojennego budynku wielorodzinnego wykonanego w technologii tradycyjnej.
Pozostały udział w nieruchomości można nabyć w postępowaniu egzekucyjnym prowadzonym przez Komornika Sądowego Tomasza Kinastowskiego.
Oferty należy składać do 26.02.2024 r. na adres: Kancelaria Syndyka Michała Mojki, ul. Legnicka 62/213, 54-204 Wrocław.
Otwarcie ofert nastąpi pod wskazanym wyżej adresem w dniu 01.03.2024 r. o godz. 12:00
Wszelkie informacje, w tym regulamin sprzedaży i operat szacunkowy nieruchomości, można uzyskać po kontakcie z numerem517... pokażlub adresem mmojka@o2.pl.
Kontakt:
Syndyk Michał Mojka
517... pokaż
mmojka@o2.pl
Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)",Henryka Michała Kamieńskiego,3,,,"51,60 m²",,,,
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-konduktorska-89m2-mzn2041497103,,"Murapol Osiedle Ferrovia

Najważniejsze atuty
✅ Kameralne osiedle z dala od zgiełku miasta, a jednocześnie blisko serca Wrocławia","Krzyki,",5,,,"89,76 m²",,,,2025
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-miedzyleska-6b-38m2-mzn2042224090,,"Najważniejsze atuty
✅ Przyjazna okolica","Tarnogaj,",2,,,"38,21 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-srodmiescie-dmowskiego-13-52m2-mzn2041112130,,"Atmo
Najważniejsze atuty
✅ Przemyślane rozkłady lokali gwarantujące szerokie możliwości aranżacji","Śródmieście,",2,,,"52,93 m²",,,6/6,2023
